epoch,d_loss,g_loss,d_adv,d_attr,g_adv,g_attr,val_attr_acc,train_attr_acc
1,1.9483865,1.5311906,1.294582,0.65380394,0.85544425,0.67574584,0.7208172,0.0
2,2.196563,1.1713058,1.6577936,0.5387699,0.6445657,0.5267404,0.8109598,0.0
3,1.8692564,1.129334,1.4514258,0.41783145,0.7603378,0.36899653,0.85084313,0.0
4,1.7708246,1.0977153,1.4348462,0.33597812,0.84227365,0.2554423,0.8771077,0.0
5,1.5927523,1.0996387,1.306526,0.28622755,0.9109894,0.1886489,0.8949417,0.0
6,1.4649379,1.0635688,1.2120948,0.25284326,0.9074735,0.15609503,0.89559007,0.0
7,1.4654008,1.0788609,1.2229764,0.24242374,0.9280979,0.15076269,0.9023995,0.0
8,1.4312025,1.0815008,1.1976366,0.23356538,0.93648726,0.1450132,0.9059662,0.0
9,1.4101287,1.1116982,1.1844635,0.22566517,0.97247595,0.1392223,0.9075875,0.0
10,1.1815561,1.1402721,0.9675824,0.21397364,1.0210747,0.11919774,0.9189365,0.0
11,1.1376476,1.1594768,0.93314755,0.20450036,1.0514302,0.10804606,0.9173151,0.0
12,1.1780057,1.1605856,0.9762763,0.20172882,1.0527151,0.107870504,0.92088205,0.0
13,1.1837282,1.157983,0.98285663,0.20087168,1.0514619,0.10652035,0.92477304,0.0
14,1.1484299,1.1835494,0.9506683,0.19776134,1.0799421,0.1036073,0.92736703,0.0
15,0.97412276,1.2077017,0.7810442,0.19307901,1.1102884,0.09741218,0.91569394,0.0
16,0.9609013,1.2401525,0.7719991,0.188903,1.1472566,0.09289555,0.9228276,0.0
17,0.9593475,1.2534938,0.7713993,0.18794814,1.1623505,0.09114269,0.92801565,0.0
18,0.9539772,1.2563881,0.77063304,0.18334486,1.1647258,0.09166329,0.92282754,0.0
19,0.8753481,1.2818708,0.69251615,0.1828319,1.1951625,0.086708665,0.92153054,0.0
20,0.8172804,1.3178316,0.63542765,0.18185267,1.233582,0.08424933,0.9289884,0.0
21,0.80215704,1.3367952,0.6246692,0.17748784,1.2519715,0.0848232,0.92963684,0.0
22,0.8012053,1.3397346,0.6233327,0.17787224,1.2561227,0.08361186,0.92833984,0.0
23,0.79018754,1.3603525,0.61429006,0.17589775,1.2770125,0.0833393,0.9247729,0.0
24,0.7368883,1.3681691,0.5626269,0.17426129,1.286363,0.08180573,0.9296369,0.0
25,0.72369355,1.389991,0.54946274,0.17423089,1.3078989,0.082092434,0.92931265,0.0
26,0.71522737,1.3941584,0.54265696,0.17257074,1.31283,0.081328936,0.92833984,0.0
27,0.70236135,1.4018269,0.5303964,0.171965,1.3227149,0.07911215,0.9328795,0.0
28,0.68092656,1.4283805,0.5077001,0.17322621,1.3479843,0.08039555,0.9325552,0.0
29,0.66300976,1.4258922,0.49078724,0.17222275,1.3480378,0.07785379,0.93060964,0.0
30,0.6471391,1.4487115,0.476708,0.170431,1.3698717,0.07884018,0.93968874,0.0
31,0.6471218,1.4493232,0.47612786,0.17099382,1.3718659,0.077457756,0.9276913,0.0
32,0.6428464,1.4496326,0.47265127,0.17019552,1.3719771,0.077655055,0.9325551,0.0
33,0.6280584,1.4555432,0.45734668,0.17071135,1.3791239,0.076419994,0.93612194,0.0
34,0.62059796,1.4671913,0.45098513,0.16961293,1.391111,0.07608052,0.93190664,0.0
35,0.6162545,1.4709426,0.44636637,0.169888,1.3956487,0.07529365,0.9380675,0.0
36,0.6057344,1.4767821,0.43897676,0.16675825,1.4029096,0.073872805,0.93417645,0.0
37,0.6049753,1.4821635,0.43635538,0.16861966,1.4068127,0.075351655,0.93612194,0.0
38,0.5999971,1.4788771,0.4314825,0.16851453,1.4030021,0.07587518,0.93190664,0.0
39,0.5994933,1.4797626,0.431407,0.16808605,1.4034837,0.07627837,0.9289884,0.0
40,0.5975107,1.4747796,0.43043315,0.16707747,1.3994828,0.07529583,0.93612194,0.0
41,0.593372,1.495982,0.42466357,0.16870828,1.4214631,0.07451998,0.92736703,0.0
42,0.58837754,1.4888811,0.42094553,0.16743204,1.4147103,0.074171275,0.92477304,0.0
43,0.58620363,1.485098,0.42005122,0.16615242,1.41029,0.07480818,0.93839175,0.0
44,0.5847008,1.4865396,0.41693196,0.16776872,1.4131813,0.07335773,0.9377432,0.0
45,0.5929632,1.4851629,0.424225,0.16873841,1.4113096,0.07385414,0.93547344,0.0
46,0.59078544,1.4854778,0.4237301,0.16705556,1.4099255,0.07555133,0.9380675,0.0
47,0.5926209,1.4830533,0.42517295,0.16744798,1.4074872,0.07556686,0.9283399,0.0
48,0.58922035,1.4852722,0.42191026,0.1673101,1.4103527,0.074919775,0.9390403,0.0
49,0.5907283,1.4816234,0.422523,0.16820538,1.4073833,0.07423995,0.9354735,0.0
50,0.58795255,1.4852365,0.42049223,0.16746058,1.4105517,0.074685544,0.9413099,0.0
51,0.58610445,1.4873822,0.41890818,0.16719644,1.4142323,0.073149405,0.9289884,0.0
52,0.579066,1.4879673,0.41305742,0.1660084,1.4125392,0.07542845,0.9306096,0.0
53,0.577201,1.4988108,0.41153878,0.16566215,1.4251302,0.07368147,0.9351492,0.0
54,0.5775991,1.49826,0.41117102,0.16642822,1.4230689,0.075191945,0.9234761,0.0
55,0.58822536,1.4856018,0.42023927,0.16798598,1.4099137,0.07568859,0.93223095,0.0
56,0.58301586,1.4875418,0.4170208,0.16599496,1.412225,0.07531668,0.93482494,0.0
57,0.5804762,1.4911956,0.41265005,0.1678262,1.4172131,0.073982984,0.9348249,0.0
58,0.5766727,1.490954,0.40967047,0.16700208,1.4156238,0.07533057,0.9413099,0.0
59,0.57367194,1.4944354,0.40696812,0.16670382,1.4189998,0.07543656,0.9377432,0.0
60,0.578133,1.4967004,0.41048163,0.16765122,1.4206172,0.07608318,0.9315824,0.0
61,0.5760392,1.4977487,0.40911385,0.16692539,1.423052,0.07469747,0.9283398,0.0
62,0.5749077,1.5032593,0.40802005,0.16688728,1.4281516,0.07510676,0.9325552,0.0
63,0.57604927,1.4973471,0.40851212,0.16753708,1.421736,0.075611375,0.93417645,0.0
64,0.579964,1.4981318,0.4112812,0.16868274,1.4238468,0.07428581,0.9416343,0.0
65,0.5788646,1.4944896,0.41084892,0.1680157,1.4193046,0.075185046,0.9335279,0.0
66,0.57387453,1.5030951,0.40725157,0.16662289,1.4286128,0.074482,0.9270429,0.0
67,0.57740164,1.4933552,0.40961877,0.16778348,1.4189997,0.074354835,0.9367705,0.0
68,0.5760427,1.5026088,0.40800086,0.16804168,1.4280664,0.07454244,0.92704284,0.0
69,0.57472247,1.498933,0.40688732,0.1678352,1.424185,0.07474876,0.9367705,0.0
70,0.5720525,1.5039881,0.40471932,0.16733335,1.4290439,0.07494413,0.93774325,0.0
71,0.5822364,1.4910014,0.4142006,0.16803643,1.4143177,0.07668313,0.9364462,0.0
72,0.5719635,1.5077362,0.4049976,0.16696584,1.432471,0.07526577,0.9328793,0.0
73,0.5734206,1.4974755,0.40545076,0.16796993,1.4217602,0.075716525,0.93320364,0.0
74,0.5842938,1.488522,0.41714755,0.16714634,1.413445,0.07507709,0.9345007,0.0
75,0.57752943,1.496332,0.41073278,0.16679612,1.4220592,0.07427275,0.9289884,0.0
76,0.5824546,1.4886357,0.41569376,0.1667609,1.4138947,0.0747411,0.9364462,0.0
77,0.57493204,1.4968969,0.408171,0.16676113,1.4217783,0.07511936,0.9319067,0.0
78,0.58062327,1.4913845,0.41397947,0.16664393,1.4168794,0.07450566,0.9328794,0.0
79,0.5792008,1.4922028,0.41286436,0.16633649,1.4185104,0.07369058,0.93287945,0.0
80,0.5699948,1.5139977,0.40296474,0.16703032,1.4396977,0.07429885,0.9419584,0.0
81,0.57395965,1.5014175,0.40671656,0.16724333,1.4269209,0.07449654,0.9276914,0.0
82,0.57754177,1.496369,0.4113405,0.16620103,1.4215996,0.074769534,0.9306096,0.0
83,0.57533,1.4968785,0.40837446,0.16695555,1.4214445,0.07543415,0.94001293,0.0
84,0.5783726,1.4918846,0.41202298,0.16634986,1.4165039,0.075381935,0.9260701,0.0
85,0.5750191,1.4914308,0.4074104,0.1676084,1.4166174,0.07481277,0.9422828,0.0
86,0.5816525,1.4939644,0.4153428,0.16630967,1.4196252,0.07433992,0.9306097,0.0
87,0.58023137,1.4997517,0.41161895,0.16861226,1.4249403,0.07481114,0.9351491,0.0
88,0.5737713,1.5054651,0.40596658,0.16780451,1.4309264,0.074537896,0.940013,0.0
89,0.57632035,1.4988226,0.40867162,0.1676488,1.4245172,0.074304625,0.93093383,0.0
90,0.5760378,1.4998112,0.40938655,0.16665146,1.4252901,0.07452071,0.92931265,0.0
91,0.57875824,1.4875181,0.41307318,0.1656848,1.412712,0.07480642,0.9435798,0.0
92,0.5746162,1.5009909,0.4070916,0.16752474,1.426657,0.07433418,0.9325551,0.0
93,0.57567614,1.5010009,0.40958652,0.16608956,1.4251021,0.075898215,0.932555,0.0
94,0.57555693,1.503854,0.40846577,0.16709118,1.4294833,0.07437228,0.9364462,0.0
95,0.57336193,1.4956726,0.4074872,0.1658745,1.4212248,0.07444745,0.9351492,0.0
96,0.57782084,1.491347,0.41061124,0.16720988,1.4174902,0.07385728,0.9396887,0.0
97,0.5729461,1.4977047,0.4062751,0.1666706,1.4227809,0.07492477,0.9380675,0.0
98,0.5779443,1.4955217,0.40933666,0.168608,1.4211584,0.074363194,0.937419,0.0
99,0.5726525,1.5023856,0.4066167,0.16603564,1.426371,0.07601393,0.9403373,0.0
100,0.57962656,1.4884427,0.4113455,0.16828075,1.4136147,0.07482773,0.93968874,0.0
101,0.5794324,1.4980112,0.41156742,0.16786507,1.4235461,0.074465156,0.9429312,0.0
102,0.5780474,1.4976686,0.41238505,0.16566245,1.4240799,0.07358812,0.93871593,0.0
103,0.5727527,1.5041163,0.40543234,0.16732027,1.4294927,0.07462478,0.93125814,0.0
104,0.5760498,1.4989328,0.40829682,0.16775306,1.4236158,0.075317346,0.93223083,0.0
105,0.5757349,1.5079802,0.40718076,0.1685543,1.4333255,0.074655555,0.93125814,0.0
106,0.5754652,1.5010738,0.4071497,0.16831511,1.4261365,0.07493657,0.93320364,0.0
107,0.5760461,1.4991922,0.40868363,0.16736244,1.4257382,0.073454164,0.9367705,0.0
108,0.5755313,1.4995104,0.4088936,0.16663729,1.4244539,0.07505585,0.9293126,0.0
109,0.58040386,1.4934008,0.4128621,0.16754153,1.4187671,0.074633926,0.93417645,0.0
110,0.57770926,1.4928455,0.41150633,0.16620305,1.4191004,0.07374535,0.94066155,0.0
111,0.5693144,1.520081,0.40253967,0.1667748,1.4445643,0.07551598,0.94033736,0.0
112,0.5795454,1.4924781,0.41157785,0.16796742,1.4179246,0.07455439,0.9380675,0.0
113,0.57628113,1.4996988,0.4098831,0.16639806,1.4257524,0.07394614,0.9364462,0.0
114,0.5826917,1.4896283,0.41448507,0.16820681,1.4144748,0.07515442,0.93028545,0.0
